date,hits,geo,time,keyword,gprop,category
2018-07-15T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2018-07-22T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2018-07-29T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2018-08-05T00:00:00Z,59,US,today+5-y,%2Fm%2F01mw1,web,0
2018-08-12T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2018-08-19T00:00:00Z,62,US,today+5-y,%2Fm%2F01mw1,web,0
2018-08-26T00:00:00Z,62,US,today+5-y,%2Fm%2F01mw1,web,0
2018-09-02T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2018-09-09T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2018-09-16T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-09-23T00:00:00Z,62,US,today+5-y,%2Fm%2F01mw1,web,0
2018-09-30T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-10-07T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2018-10-14T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2018-10-21T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2018-10-28T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-11-04T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-11-11T00:00:00Z,65,US,today+5-y,%2Fm%2F01mw1,web,0
2018-11-18T00:00:00Z,86,US,today+5-y,%2Fm%2F01mw1,web,0
2018-11-25T00:00:00Z,75,US,today+5-y,%2Fm%2F01mw1,web,0
2018-12-02T00:00:00Z,75,US,today+5-y,%2Fm%2F01mw1,web,0
2018-12-09T00:00:00Z,74,US,today+5-y,%2Fm%2F01mw1,web,0
2018-12-16T00:00:00Z,80,US,today+5-y,%2Fm%2F01mw1,web,0
2018-12-23T00:00:00Z,91,US,today+5-y,%2Fm%2F01mw1,web,0
2018-12-30T00:00:00Z,70,US,today+5-y,%2Fm%2F01mw1,web,0
2019-01-06T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2019-01-13T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2019-01-20T00:00:00Z,59,US,today+5-y,%2Fm%2F01mw1,web,0
2019-01-27T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2019-02-03T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2019-02-10T00:00:00Z,62,US,today+5-y,%2Fm%2F01mw1,web,0
2019-02-17T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2019-02-24T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2019-03-03T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2019-03-10T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2019-03-17T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2019-03-24T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2019-03-31T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2019-04-07T00:00:00Z,54,US,today+5-y,%2Fm%2F01mw1,web,0
2019-04-14T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2019-04-21T00:00:00Z,54,US,today+5-y,%2Fm%2F01mw1,web,0
2019-04-28T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2019-05-05T00:00:00Z,52,US,today+5-y,%2Fm%2F01mw1,web,0
2019-05-12T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2019-05-19T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2019-05-26T00:00:00Z,59,US,today+5-y,%2Fm%2F01mw1,web,0
2019-06-02T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2019-06-09T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2019-06-16T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2019-06-23T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2019-06-30T00:00:00Z,52,US,today+5-y,%2Fm%2F01mw1,web,0
2019-07-07T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2019-07-14T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2019-07-21T00:00:00Z,52,US,today+5-y,%2Fm%2F01mw1,web,0
2019-07-28T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2019-08-04T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2019-08-11T00:00:00Z,50,US,today+5-y,%2Fm%2F01mw1,web,0
2019-08-18T00:00:00Z,52,US,today+5-y,%2Fm%2F01mw1,web,0
2019-08-25T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2019-09-01T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2019-09-08T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2019-09-15T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2019-09-22T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2019-09-29T00:00:00Z,54,US,today+5-y,%2Fm%2F01mw1,web,0
2019-10-06T00:00:00Z,52,US,today+5-y,%2Fm%2F01mw1,web,0
2019-10-13T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2019-10-20T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
2019-10-27T00:00:00Z,59,US,today+5-y,%2Fm%2F01mw1,web,0
2019-11-03T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2019-11-10T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2019-11-17T00:00:00Z,63,US,today+5-y,%2Fm%2F01mw1,web,0
2019-11-24T00:00:00Z,81,US,today+5-y,%2Fm%2F01mw1,web,0
2019-12-01T00:00:00Z,70,US,today+5-y,%2Fm%2F01mw1,web,0
